Name,GP,Min,Pts,FG,FGA,2Pt,2PtA,3Pt,3PtA,3P%,FTM,FTA,Off,Def,TOT,Asts,Stls,Blks,TOs,PFs,Team,Year
Arturas Milaknis,11,8.1,2.5,0.8,1.6,0.1,0.2,0.7,1.5,50.0,0.1,0.2,0.0,0.4,0.4,0.0,0.3,0.0,0.3,1.1,Zalgiris,2010
Povilas Cukinas,6,7.3,0.5,0.0,1.0,0.0,1.0,0.0,0.0,,0.5,1.7,0.2,1.2,1.3,0.2,0.2,0.2,0.8,1.7,Zalgiris,2010
Zygimantas Janavicius,7,7.0,0.4,0.1,1.3,0.1,0.7,0.0,0.6,0.0,0.1,0.3,0.0,0.1,0.1,0.6,0.1,0.0,0.9,1.4,Zalgiris,2010
Povilas Butkevicius,3,4.3,0.7,0.3,0.7,0.3,0.7,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.7,Zalgiris,2010
Sarunas Vasiliauskas,3,2.3,0.7,0.0,0.7,0.0,0.7,0.0,0.0,,0.7,0.7,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,Zalgiris,2010
Sergio Llull,17,27.2,13.8,4.1,10.4,1.8,3.9,2.4,6.5,36.4,3.2,3.8,0.2,1.8,2.0,4.9,0.7,0.2,1.5,2.5,Real Madrid,2016
Rudy Fernandez,7,26.4,10.0,3.1,7.0,1.7,3.3,1.4,3.7,38.5,2.3,2.7,1.3,2.0,3.3,2.3,0.7,0.1,1.7,1.6,Real Madrid,2016
Gustavo Ayon,20,26.0,12.4,5.1,8.0,5.1,8.0,0.0,0.0,,2.2,3.4,2.9,5.1,8.0,2.5,1.8,1.5,1.8,2.9,Real Madrid,2016
Sergio Rodriguez,20,24.0,10.3,3.5,8.0,1.8,3.4,1.8,4.6,38.0,1.6,2.2,0.4,1.9,2.2,6.8,0.6,0.1,2.1,2.1,Real Madrid,2016
K.C. Rivers,10,20.6,8.0,3.3,7.1,2.1,3.6,1.2,3.5,34.3,0.2,0.2,0.3,1.4,1.7,0.7,0.8,0.1,0.2,1.4,Real Madrid,2016
